# stan_version_major = 2
# stan_version_minor = 5
# stan_version_patch = 0
# model = VectorOne_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = VectorOne_4.data.R
# init = 2 (Default)
# random
#   seed = 900581113
# output
#   file = VectorOne_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,L.1.1,L.2.1,L.1.2,L.2.2,tau.1,tau.2,u.1.1,u.2.1,u.3.1,u.4.1,u.5.1,u.6.1,u.7.1,u.8.1,u.9.1,u.10.1,u.11.1,u.12.1,u.13.1,u.14.1,u.15.1,u.16.1,u.17.1,u.18.1,u.1.2,u.2.2,u.3.2,u.4.2,u.5.2,u.6.2,u.7.2,u.8.2,u.9.2,u.10.2,u.11.2,u.12.2,u.13.2,u.14.2,u.15.2,u.16.2,u.17.2,u.18.2,beta.1,beta.2,sigma,Lambda.1.1,Lambda.2.1,Lambda.1.2,Lambda.2.2,corr.1.1,corr.2.1,corr.1.2,corr.2.2,b.1.1,b.2.1,b.3.1,b.4.1,b.5.1,b.6.1,b.7.1,b.8.1,b.9.1,b.10.1,b.11.1,b.12.1,b.13.1,b.14.1,b.15.1,b.16.1,b.17.1,b.18.1,b.1.2,b.2.2,b.3.2,b.4.2,b.5.2,b.6.2,b.7.2,b.8.2,b.9.2,b.10.2,b.11.2,b.12.2,b.13.2,b.14.2,b.15.2,b.16.2,b.17.2,b.18.2,muX.1,muX.2,muX.3,muX.4,muX.5,muX.6,muX.7,muX.8,muX.9,muX.10,muX.11,muX.12,muX.13,muX.14,muX.15,muX.16,muX.17,muX.18,muX.19,muX.20,muX.21,muX.22,muX.23,muX.24,muX.25,muX.26,muX.27,muX.28,muX.29,muX.30,muX.31,muX.32,muX.33,muX.34,muX.35,muX.36,muX.37,muX.38,muX.39,muX.40,muX.41,muX.42,muX.43,muX.44,muX.45,muX.46,muX.47,muX.48,muX.49,muX.50,muX.51,muX.52,muX.53,muX.54,muX.55,muX.56,muX.57,muX.58,muX.59,muX.60,muX.61,muX.62,muX.63,muX.64,muX.65,muX.66,muX.67,muX.68,muX.69,muX.70,muX.71,muX.72,muX.73,muX.74,muX.75,muX.76,muX.77,muX.78,muX.79,muX.80,muX.81,muX.82,muX.83,muX.84,muX.85,muX.86,muX.87,muX.88,muX.89,muX.90,muX.91,muX.92,muX.93,muX.94,muX.95,muX.96,muX.97,muX.98,muX.99,muX.100,muX.101,muX.102,muX.103,muX.104,muX.105,muX.106,muX.107,muX.108,muX.109,muX.110,muX.111,muX.112,muX.113,muX.114,muX.115,muX.116,muX.117,muX.118,muX.119,muX.120,muX.121,muX.122,muX.123,muX.124,muX.125,muX.126,muX.127,muX.128,muX.129,muX.130,muX.131,muX.132,muX.133,muX.134,muX.135,muX.136,muX.137,muX.138,muX.139,muX.140,muX.141,muX.142,muX.143,muX.144,muX.145,muX.146,muX.147,muX.148,muX.149,muX.150,muX.151,muX.152,muX.153,muX.154,muX.155,muX.156,muX.157,muX.158,muX.159,muX.160,muX.161,muX.162,muX.163,muX.164,muX.165,muX.166,muX.167,muX.168,muX.169,muX.170,muX.171,muX.172,muX.173,muX.174,muX.175,muX.176,muX.177,muX.178,muX.179,muX.180,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,mu.78,mu.79,mu.80,mu.81,mu.82,mu.83,mu.84,mu.85,mu.86,mu.87,mu.88,mu.89,mu.90,mu.91,mu.92,mu.93,mu.94,mu.95,mu.96,mu.97,mu.98,mu.99,mu.100,mu.101,mu.102,mu.103,mu.104,mu.105,mu.106,mu.107,mu.108,mu.109,mu.110,mu.111,mu.112,mu.113,mu.114,mu.115,mu.116,mu.117,mu.118,mu.119,mu.120,mu.121,mu.122,mu.123,mu.124,mu.125,mu.126,mu.127,mu.128,mu.129,mu.130,mu.131,mu.132,mu.133,mu.134,mu.135,mu.136,mu.137,mu.138,mu.139,mu.140,mu.141,mu.142,mu.143,mu.144,mu.145,mu.146,mu.147,mu.148,mu.149,mu.150,mu.151,mu.152,mu.153,mu.154,mu.155,mu.156,mu.157,mu.158,mu.159,mu.160,mu.161,mu.162,mu.163,mu.164,mu.165,mu.166,mu.167,mu.168,mu.169,mu.170,mu.171,mu.172,mu.173,mu.174,mu.175,mu.176,mu.177,mu.178,mu.179,mu.180
# Adaptation terminated
# Step size = 0.127213
# Diagonal elements of inverse mass matrix:
# 0.0805392, 0.0637094, 0.0459392, 189.526, 197.289, 208.453, 231.351, 192.006, 207.322, 190.093, 193.385, 193.776, 180.353, 172.067, 170.547, 211.551, 169.217, 177.346, 186.166, 232.401, 243.17, 199.045, 228.755, 193.632, 177.47, 204.556, 172.121, 167.285, 136.396, 164.607, 183.641, 178.376, 149.665, 199.517, 171.224, 168.338, 145.961, 171.636, 164.758, 49.8247, 2.92842, 0.00345316

-798.646,0.929629,0.127213,5,31,0,1,-0.0165386,0,0.999863,1.53113,0.334735,-2.95545,-44.1992,-48.8219,17.45,10.639,12.5209,1.60022,-25.0196,-15.8204,10.7368,-31.7928,-20.8304,-4.54222,15.6736,-13.2785,-31.5895,-14.8306,0.414694,21.1494,-26.8586,-17.2693,-38.7508,-24.3462,-21.9433,-13.0185,4.13416,-45.3904,24.5965,5.78519,21.232,-12.9266,0.814609,0.77026,21.6756,-3.09877,0.378465,267.108,12.1015,23.7408,1.53113,-0.00553607,0,0.33469,1,-0.0165386,-0.0165386,1,-4.52518,-67.6748,-74.7527,26.7182,16.2896,19.1711,2.45015,-38.3084,-24.2231,16.4395,-48.6789,-31.8941,-6.95473,23.9983,-20.3311,-48.3677,-22.7075,0.634951,7.09484,-8.7446,-5.50957,-13.0661,-8.20732,-7.41352,-4.366,1.52217,-15.1041,8.17277,2.11225,7.22144,-4.30126,0.185871,0.331309,7.42948,-0.955024,0.124372,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,267.108,279.209,291.311,303.412,315.514,327.615,339.717,351.819,363.92,376.022,262.583,281.779,300.975,320.172,339.368,358.565,377.761,396.957,416.154,435.35,199.433,202.79,206.147,209.504,212.861,216.218,219.575,222.932,226.289,229.645,192.355,198.947,205.539,212.131,218.723,225.315,231.907,238.499,245.091,251.683,293.826,292.861,291.897,290.932,289.968,289.003,288.039,287.074,286.11,285.145,283.397,287.292,291.186,295.08,298.974,302.869,306.763,310.657,314.551,318.445,286.279,290.967,295.655,300.343,305.031,309.719,314.407,319.095,323.783,328.471,269.558,277.293,285.029,292.765,300.5,308.236,315.971,323.707,331.442,339.178,228.799,242.423,256.047,269.671,283.294,296.918,310.542,324.165,337.789,351.413,242.885,239.882,236.88,233.877,230.874,227.872,224.869,221.867,218.864,215.861,283.547,303.822,324.096,344.37,364.645,384.919,405.193,425.467,445.742,466.016,218.429,232.643,246.857,261.07,275.284,289.498,303.712,317.925,332.139,346.353,235.214,254.537,273.86,293.183,312.506,331.829,351.152,370.475,389.798,409.121,260.153,267.953,275.754,283.554,291.354,299.154,306.955,314.755,322.555,330.356,291.106,303.394,315.681,327.968,340.256,352.543,364.831,377.118,389.405,401.693,246.777,259.21,271.642,284.075,296.508,308.941,321.374,333.807,346.24,358.672,218.74,238.271,257.802,277.333,296.864,316.395,335.926,355.457,374.988,394.519,244.4,255.547,266.693,277.84,288.986,300.133,311.279,322.426,333.572,344.719,267.743,279.969,292.195,304.42,316.646,328.872,341.098,353.324,365.55,377.776
-807.047,0.91307,0.127213,5,31,0,1,0.530935,0,0.847412,0.827113,0.290644,-3.47035,-30.6709,-39.596,0.436451,20.2145,-0.817439,-2.13082,-7.74094,-6.39741,35.0004,-29.9112,-2.16499,12.0475,10.7725,3.51574,-41.4504,-1.48105,5.42797,28.2339,-28.1181,-12.2495,-23.1976,-30.7569,0.576324,-4.31886,-16.3382,-42.7256,-7.72868,11.921,5.12024,-26.1291,0.888964,-9.85397,46.981,-15.442,-4.23425,253.962,12.6638,26.9434,0.827113,0.154313,0,0.246295,1,0.530935,0.530935,1,-2.87037,-25.3683,-32.7503,0.360994,16.7197,-0.676114,-1.76242,-6.40263,-5.29138,28.9493,-24.7399,-1.79069,9.96461,8.91007,2.90791,-34.2842,-1.225,4.48954,6.41835,-11.6583,-9.12717,-5.64611,-4.45593,0.0158043,-1.39253,-5.21855,-11.5103,3.49748,-1.67961,0.927005,-4.57639,1.88129,-1.88446,5.17486,-4.03183,-0.205269,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,253.962,266.626,279.29,291.953,304.617,317.281,329.945,342.609,355.272,367.936,251.092,270.174,289.256,308.338,327.42,346.502,365.584,384.667,403.749,422.831,228.594,229.599,230.605,231.61,232.616,233.621,234.627,235.632,236.638,237.643,221.212,224.748,228.285,231.822,235.358,238.895,242.431,245.968,249.505,253.041,254.323,261.341,268.358,275.376,282.394,289.411,296.429,303.447,310.464,317.482,270.682,278.89,287.097,295.305,303.513,311.721,319.929,328.137,336.345,344.552,253.286,265.966,278.645,291.325,304.004,316.684,329.363,342.043,354.723,367.402,252.2,263.471,274.742,286.013,297.285,308.556,319.827,331.098,342.37,353.641,247.559,255.005,262.45,269.895,277.34,284.786,292.231,299.676,307.121,314.566,248.671,249.824,250.978,252.131,253.285,254.438,255.591,256.745,257.898,259.052,282.911,299.073,315.234,331.395,347.556,363.718,379.879,396.04,412.201,428.363,229.222,240.206,251.19,262.175,273.159,284.143,295.127,306.111,317.095,328.08,252.171,265.762,279.353,292.944,306.535,320.125,333.716,347.307,360.898,374.488,263.927,272.014,280.101,288.189,296.276,304.364,312.451,320.538,328.626,336.713,262.872,277.417,291.962,306.507,321.052,335.597,350.143,364.688,379.233,393.778,256.87,267.649,278.429,289.208,299.987,310.767,321.546,332.325,343.105,353.884,219.678,237.517,255.355,273.194,291.032,308.871,326.71,344.548,362.387,380.226,252.737,261.369,270.001,278.633,287.265,295.897,304.529,313.161,321.793,330.425,258.452,270.91,283.369,295.827,308.286,320.744,333.203,345.661,358.12,370.578
-801.919,0.843814,0.127213,6,63,0,1,0.27639,0,0.961046,1.17654,0.242956,8.79124,-24.2865,-30.1158,37.227,47.771,20.1505,31.5972,-18.1798,-5.25334,60.9717,-17.6639,-5.68581,13.0241,26.6441,18.6052,-29.0928,0.592081,21.6766,47.9567,-30.8115,-6.10323,-40.5287,-38.013,4.61591,-12.3573,27.2115,-34.8233,13.6373,15.6605,45.586,-3.49285,16.779,-2.99229,56.042,10.1938,2.36477,241.906,8.8878,24.8489,1.17654,0.0671505,0,0.233491,1,0.27639,0.27639,1,10.3433,-28.5741,-35.4326,43.7992,56.2047,23.708,37.1755,-21.3893,-6.18078,71.7358,-20.7824,-6.6896,15.3234,31.3479,21.8898,-34.2289,0.696609,25.5035,11.7878,-8.82506,-3.44734,-6.9633,-5.66786,2.43089,-0.763564,5.13286,-8.4837,7.27848,2.47044,10.2621,0.0590261,5.70692,0.550671,11.1317,2.41993,2.00775,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,241.906,250.794,259.681,268.569,277.457,286.345,295.233,304.12,313.008,321.896,252.249,272.925,293.6,314.276,334.951,355.627,376.303,396.978,417.654,438.329,213.332,213.394,213.457,213.52,213.583,213.645,213.708,213.771,213.834,213.896,206.473,211.914,217.354,222.795,228.235,233.675,239.116,244.556,249.997,255.437,285.705,287.629,289.554,291.478,293.403,295.327,297.252,299.176,301.101,303.025,298.11,301.33,304.55,307.77,310.99,314.21,317.43,320.65,323.87,327.09,265.614,276.932,288.251,299.57,310.888,322.207,333.526,344.845,356.163,367.482,279.081,287.205,295.33,303.454,311.578,319.702,327.827,335.951,344.075,352.199,220.516,234.537,248.558,262.578,276.599,290.62,304.64,318.661,332.682,346.702,235.725,236.129,236.533,236.937,237.341,237.745,238.15,238.554,238.958,239.362,313.642,329.808,345.974,362.14,378.307,394.473,410.639,426.806,442.972,459.138,221.123,232.482,243.84,255.198,266.556,277.915,289.273,300.631,311.989,323.348,235.216,254.366,273.516,292.666,311.816,330.966,350.116,369.266,388.416,407.566,257.229,266.176,275.123,284.07,293.016,301.963,310.91,319.857,328.804,337.751,273.254,287.848,302.443,317.038,331.633,346.227,360.822,375.417,390.011,404.606,263.796,273.234,282.672,292.111,301.549,310.988,320.426,329.865,339.303,348.742,207.677,227.696,247.716,267.735,287.755,307.774,327.794,347.814,367.833,387.853,242.602,253.91,265.218,276.526,287.833,299.141,310.449,321.757,333.064,344.372,267.409,278.305,289.2,300.096,310.991,321.887,332.783,343.678,354.574,365.469
-803.676,0.962083,0.127213,5,31,0,1,0.544286,0,0.8389,1.18792,0.217381,4.85413,-33.1695,-14.3791,17.1685,21.6019,15.8869,27.4405,-6.77753,6.94697,30.1083,-19.892,-12.926,6.90414,24.7843,-7.53869,-22.1952,1.70389,-0.0320001,43.2461,-11.3293,-27.5511,-39.4389,-27.6052,-6.63386,-33.7371,2.10015,-64.6346,26.8938,15.1452,49.7512,-5.87411,-5.95422,25.4604,51.576,-3.99028,20.1457,247.951,10.5375,25.2777,1.18792,0.118317,0,0.182361,1,0.544286,0.544286,1,5.76631,-39.4027,-17.0812,20.3948,25.6614,18.8724,32.5971,-8.05117,8.25244,35.7662,-23.6301,-15.355,8.20157,29.4418,-8.95537,-26.3661,2.02408,-0.0380135,8.46073,-5.99054,-6.72554,-5.16079,-2.47823,0.669939,-2.90564,-0.418914,-10.9649,8.4667,0.408321,7.54331,-0.254328,1.8466,3.75103,6.77937,-0.526071,3.67001,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,247.951,258.488,269.026,279.563,290.101,300.638,311.176,321.713,332.251,342.789,253.717,272.715,291.714,310.712,329.71,348.708,367.707,386.705,405.703,424.701,208.548,213.095,217.642,222.189,226.736,231.283,235.83,240.377,244.924,249.471,230.87,234.682,238.494,242.306,246.118,249.929,253.741,257.553,261.365,265.177,268.346,273.722,279.099,284.476,289.852,295.229,300.606,305.983,311.359,316.736,273.612,281.671,289.731,297.79,305.849,313.909,321.968,330.027,338.087,346.146,266.823,278.031,289.238,300.446,311.653,322.86,334.068,345.275,356.483,367.69,280.548,288.18,295.812,303.444,311.075,318.707,326.339,333.971,341.603,349.235,239.9,250.018,260.137,270.255,280.374,290.493,300.611,310.73,320.849,330.967,256.203,255.776,255.349,254.921,254.494,254.066,253.639,253.212,252.784,252.357,283.717,302.721,321.725,340.73,359.734,378.738,397.742,416.747,435.751,454.755,224.321,235.266,246.212,257.158,268.104,279.05,289.996,300.942,311.887,322.833,232.596,250.677,268.757,286.838,304.919,323,341.081,359.162,377.242,395.323,256.152,266.436,276.719,287.002,297.285,307.568,317.852,328.135,338.418,348.701,277.393,289.777,302.161,314.545,326.929,339.313,351.697,364.081,376.466,388.85,238.995,253.284,267.573,281.861,296.15,310.438,324.727,339.015,353.304,367.592,221.585,238.902,256.218,273.535,290.852,308.169,325.486,342.803,360.12,377.437,249.975,259.986,269.998,280.009,290.021,300.032,310.044,320.055,330.067,340.078,247.913,262.12,276.328,290.535,304.743,318.95,333.158,347.366,361.573,375.781
-799.448,0.950544,0.127213,5,31,0,1,0.287445,0,0.957797,1.30873,0.24259,20.635,-15.1802,-16.3497,37.9027,21.9086,21.5398,36.0681,16.0805,19.8059,33.2587,-22.863,0.147373,7.34082,33.7934,8.04945,-25.8627,13.059,28.2152,27.404,-36.6861,-9.30917,-49.4168,-8.95455,-4.84413,-25.3416,-17.4247,-61.1296,32.9644,25.9419,24.6519,-9.54494,4.71654,4.14616,39.2766,-4.66828,-9.14054,237.662,10.4424,25.1626,1.30873,0.0697313,0,0.232352,1,0.287445,0.287445,1,27.0055,-19.8667,-21.3973,49.6043,28.6723,28.1897,47.2033,21.0449,25.9204,43.5265,-29.9214,0.192871,9.60712,44.2263,10.5345,-33.8472,17.0906,36.9259,7.80628,-9.58262,-3.30309,-8.83907,-0.552889,0.376456,-3.37308,-2.92735,-12.8225,9.97851,4.43338,5.73819,-1.7059,3.45236,1.52467,7.32255,-0.174064,-0.156341,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,237.662,248.104,258.547,268.989,279.431,289.874,300.316,310.759,321.201,331.643,264.667,282.916,301.165,319.413,337.662,355.911,374.159,392.408,410.657,428.906,217.795,218.655,219.515,220.375,221.234,222.094,222.954,223.814,224.673,225.533,216.265,223.404,230.543,237.682,244.822,251.961,259.1,266.24,273.379,280.518,287.266,288.869,290.473,292.076,293.679,295.283,296.886,298.489,300.093,301.696,266.334,276.224,286.113,296.003,305.892,315.782,325.671,335.561,345.45,355.34,265.852,276.67,287.489,298.308,309.127,319.946,330.765,341.584,352.402,363.221,284.865,291.934,299.004,306.073,313.142,320.212,327.281,334.35,341.42,348.489,258.707,266.222,273.737,281.252,288.767,296.282,303.797,311.312,318.827,326.342,263.582,261.202,258.822,256.442,254.062,251.682,249.302,246.922,244.542,242.162,281.188,301.609,322.03,342.451,362.872,383.293,403.714,424.135,444.556,464.977,207.74,222.616,237.492,252.368,267.244,282.119,296.995,311.871,326.747,341.623,237.855,254.035,270.216,286.396,302.577,318.758,334.938,351.119,367.299,383.48,247.269,256.005,264.742,273.478,282.215,290.951,299.688,308.424,317.161,325.898,281.888,295.783,309.678,323.572,337.467,351.362,365.257,379.151,393.046,406.941,248.196,260.163,272.13,284.098,296.065,308.032,319.999,331.966,343.933,355.9,203.815,221.58,239.344,257.109,274.874,292.639,310.404,328.169,345.934,363.699,254.752,265.021,275.289,285.557,295.826,306.094,316.363,326.631,336.899,347.168,274.588,284.874,295.16,305.446,315.732,326.018,336.304,346.59,356.876,367.162
