# stan_version_major = 2
# stan_version_minor = 5
# stan_version_patch = 0
# model = VectorOne_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = VectorOne_3.data.R
# init = 2 (Default)
# random
#   seed = 900581113
# output
#   file = VectorOne_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,L.1.1,L.2.1,L.1.2,L.2.2,tau.1,tau.2,u.1.1,u.2.1,u.3.1,u.4.1,u.5.1,u.6.1,u.7.1,u.8.1,u.9.1,u.10.1,u.11.1,u.12.1,u.13.1,u.14.1,u.15.1,u.16.1,u.17.1,u.18.1,u.1.2,u.2.2,u.3.2,u.4.2,u.5.2,u.6.2,u.7.2,u.8.2,u.9.2,u.10.2,u.11.2,u.12.2,u.13.2,u.14.2,u.15.2,u.16.2,u.17.2,u.18.2,beta.1,beta.2,sigma,Lambda.1.1,Lambda.2.1,Lambda.1.2,Lambda.2.2,corr.1.1,corr.2.1,corr.1.2,corr.2.2,b.1.1,b.2.1,b.3.1,b.4.1,b.5.1,b.6.1,b.7.1,b.8.1,b.9.1,b.10.1,b.11.1,b.12.1,b.13.1,b.14.1,b.15.1,b.16.1,b.17.1,b.18.1,b.1.2,b.2.2,b.3.2,b.4.2,b.5.2,b.6.2,b.7.2,b.8.2,b.9.2,b.10.2,b.11.2,b.12.2,b.13.2,b.14.2,b.15.2,b.16.2,b.17.2,b.18.2,muX.1,muX.2,muX.3,muX.4,muX.5,muX.6,muX.7,muX.8,muX.9,muX.10,muX.11,muX.12,muX.13,muX.14,muX.15,muX.16,muX.17,muX.18,muX.19,muX.20,muX.21,muX.22,muX.23,muX.24,muX.25,muX.26,muX.27,muX.28,muX.29,muX.30,muX.31,muX.32,muX.33,muX.34,muX.35,muX.36,muX.37,muX.38,muX.39,muX.40,muX.41,muX.42,muX.43,muX.44,muX.45,muX.46,muX.47,muX.48,muX.49,muX.50,muX.51,muX.52,muX.53,muX.54,muX.55,muX.56,muX.57,muX.58,muX.59,muX.60,muX.61,muX.62,muX.63,muX.64,muX.65,muX.66,muX.67,muX.68,muX.69,muX.70,muX.71,muX.72,muX.73,muX.74,muX.75,muX.76,muX.77,muX.78,muX.79,muX.80,muX.81,muX.82,muX.83,muX.84,muX.85,muX.86,muX.87,muX.88,muX.89,muX.90,muX.91,muX.92,muX.93,muX.94,muX.95,muX.96,muX.97,muX.98,muX.99,muX.100,muX.101,muX.102,muX.103,muX.104,muX.105,muX.106,muX.107,muX.108,muX.109,muX.110,muX.111,muX.112,muX.113,muX.114,muX.115,muX.116,muX.117,muX.118,muX.119,muX.120,muX.121,muX.122,muX.123,muX.124,muX.125,muX.126,muX.127,muX.128,muX.129,muX.130,muX.131,muX.132,muX.133,muX.134,muX.135,muX.136,muX.137,muX.138,muX.139,muX.140,muX.141,muX.142,muX.143,muX.144,muX.145,muX.146,muX.147,muX.148,muX.149,muX.150,muX.151,muX.152,muX.153,muX.154,muX.155,muX.156,muX.157,muX.158,muX.159,muX.160,muX.161,muX.162,muX.163,muX.164,muX.165,muX.166,muX.167,muX.168,muX.169,muX.170,muX.171,muX.172,muX.173,muX.174,muX.175,muX.176,muX.177,muX.178,muX.179,muX.180,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,mu.78,mu.79,mu.80,mu.81,mu.82,mu.83,mu.84,mu.85,mu.86,mu.87,mu.88,mu.89,mu.90,mu.91,mu.92,mu.93,mu.94,mu.95,mu.96,mu.97,mu.98,mu.99,mu.100,mu.101,mu.102,mu.103,mu.104,mu.105,mu.106,mu.107,mu.108,mu.109,mu.110,mu.111,mu.112,mu.113,mu.114,mu.115,mu.116,mu.117,mu.118,mu.119,mu.120,mu.121,mu.122,mu.123,mu.124,mu.125,mu.126,mu.127,mu.128,mu.129,mu.130,mu.131,mu.132,mu.133,mu.134,mu.135,mu.136,mu.137,mu.138,mu.139,mu.140,mu.141,mu.142,mu.143,mu.144,mu.145,mu.146,mu.147,mu.148,mu.149,mu.150,mu.151,mu.152,mu.153,mu.154,mu.155,mu.156,mu.157,mu.158,mu.159,mu.160,mu.161,mu.162,mu.163,mu.164,mu.165,mu.166,mu.167,mu.168,mu.169,mu.170,mu.171,mu.172,mu.173,mu.174,mu.175,mu.176,mu.177,mu.178,mu.179,mu.180
# Adaptation terminated
# Step size = 0.128013
# Diagonal elements of inverse mass matrix:
# 0.0831075, 0.0659252, 0.0483733, 187.975, 158.632, 236.151, 256.947, 221.885, 250.375, 181.089, 151.254, 198.939, 169.032, 194.132, 186.936, 166.883, 164.031, 159.012, 154.871, 197.636, 188.713, 210.939, 207.563, 194.443, 183.402, 164.988, 179.219, 209.28, 152.57, 201.141, 200.716, 173.605, 160.174, 195.002, 176.322, 163.041, 140.606, 194.388, 189.712, 53.4348, 2.64979, 0.0032959

-803.959,0.698274,0.128013,5,31,0,1,0.130042,0,0.991509,1.03904,0.238034,-1.92967,-55.2308,-23.0058,23.2313,17.6516,-11.1478,29.1075,-10.2999,-8.08325,21.4675,-35.8474,-1.17172,-6.68259,16.8904,9.83026,-52.7275,13.1378,8.54783,33.5291,-31.9281,-42.0908,-39.6075,-19.0478,4.09392,-33.7032,-10.0137,-46.8673,24.1515,9.62373,9.88624,-23.1263,1.75749,-14.4014,36.2007,-22.5087,-1.47123,246.795,13.8206,25.2354,1.03904,0.0309543,0,0.236013,1,0.130042,0.130042,1,-2.00501,-57.3873,-23.9041,24.1384,18.3408,-11.5831,30.244,-10.7021,-8.39886,22.3057,-37.247,-1.21747,-6.94351,17.5499,10.2141,-54.7862,13.6507,8.88158,7.85357,-9.24507,-10.6461,-8.62877,-3.94914,0.621144,-7.05339,-2.68218,-11.3115,6.36459,1.16169,2.29701,-5.66496,0.937623,-3.09463,6.91169,-4.90568,-0.0826367,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,246.795,260.615,274.436,288.257,302.077,315.898,329.719,343.539,357.36,371.181,244.79,266.464,288.138,309.812,331.487,353.161,374.835,396.509,418.184,439.858,189.408,193.983,198.559,203.134,207.71,212.285,216.861,221.437,226.012,230.588,222.891,226.065,229.24,232.414,235.589,238.763,241.938,245.113,248.287,251.462,270.933,276.125,281.317,286.509,291.701,296.893,302.084,307.276,312.468,317.66,265.136,275.007,284.879,294.75,304.622,314.493,324.365,334.236,344.108,353.979,235.212,249.654,264.095,278.537,292.979,307.421,321.862,336.304,350.746,365.188,277.039,283.806,290.573,297.341,304.108,310.875,317.642,324.41,331.177,337.944,236.093,247.231,258.37,269.508,280.647,291.785,302.923,314.062,325.2,336.339,238.396,240.905,243.414,245.923,248.433,250.942,253.451,255.96,258.469,260.978,269.101,289.286,309.471,329.656,349.841,370.027,390.212,410.397,430.582,450.768,209.548,224.53,239.512,254.495,269.477,284.459,299.442,314.424,329.406,344.389,245.577,261.695,277.813,293.93,310.048,326.166,342.283,358.401,374.519,390.636,239.851,248.007,256.163,264.318,272.474,280.63,288.785,296.941,305.097,313.252,264.345,279.103,293.861,308.62,323.378,338.136,352.894,367.653,382.411,397.169,257.009,267.735,278.461,289.187,299.913,310.639,321.365,332.091,342.817,353.543,192.009,212.741,233.473,254.206,274.938,295.67,316.403,337.135,357.867,378.6,260.446,269.361,278.275,287.19,296.105,305.02,313.935,322.85,331.765,340.68,255.676,269.414,283.152,296.89,310.628,324.366,338.104,351.842,365.58,379.318
-804.236,0.976754,0.128013,6,63,0,1,0.3798,0,0.925069,1.95148,0.177496,-8.73825,-33.4186,-31.89,-3.07752,13.8144,4.28095,8.49576,-5.85382,-17.7045,14.9606,-18.1758,-22.8248,3.2081,8.77815,-13.1669,-12.1615,-10.9782,-5.28054,61.2155,-14.7768,-8.42081,-17.5607,-49.0208,-16.0508,-1.60841,9.28294,-36.8959,46.2641,10.9547,60.6578,-19.7109,7.58909,27.9124,19.4259,-6.2362,12.5903,263.75,10.122,25.7709,1.95148,0.0674132,0,0.164196,1,0.3798,0.3798,1,-17.0526,-65.2159,-62.2329,-6.00574,26.9586,8.35421,16.5793,-11.4236,-34.55,29.1953,-35.4699,-44.5423,6.26056,17.1304,-25.6951,-23.7329,-21.4239,-10.3049,9.46229,-4.67915,-3.53247,-3.09087,-7.11776,-2.34689,0.308631,1.1296,-7.25169,8.60493,0.573424,8.42109,-3.02018,1.83786,3.69549,2.36982,-1.76404,1.71131,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,263.75,273.872,283.994,294.116,304.238,314.36,324.482,334.604,344.726,354.848,246.697,266.282,285.866,305.45,325.035,344.619,364.203,383.787,403.372,422.956,198.534,203.977,209.42,214.863,220.305,225.748,231.191,236.634,242.077,247.52,201.517,208.107,214.696,221.286,227.875,234.465,241.054,247.644,254.233,260.823,257.744,264.775,271.806,278.838,285.869,292.9,299.931,306.962,313.993,321.024,290.709,293.713,296.717,299.721,302.725,305.73,308.734,311.738,314.742,317.747,272.104,279.879,287.654,295.429,303.205,310.98,318.755,326.53,334.305,342.08,280.329,290.76,301.191,311.621,322.052,332.482,342.913,353.344,363.774,374.205,252.326,263.578,274.829,286.081,297.333,308.584,319.836,331.087,342.339,353.591,229.2,232.07,234.94,237.811,240.681,243.551,246.422,249.292,252.162,255.033,292.945,311.672,330.399,349.126,367.853,386.58,405.307,424.034,442.761,461.488,228.28,238.976,249.671,260.366,271.062,281.757,292.453,303.148,313.843,324.539,219.208,237.751,256.294,274.837,293.38,311.923,330.466,349.009,367.552,386.095,270.011,277.112,284.214,291.316,298.418,305.52,312.621,319.723,326.825,333.927,280.88,292.84,304.8,316.76,328.72,340.68,352.639,364.599,376.559,388.519,238.055,251.872,265.69,279.507,293.325,307.142,320.96,334.777,348.595,362.412,240.017,252.509,265.001,277.492,289.984,302.476,314.968,327.46,339.951,352.443,242.326,250.684,259.042,267.4,275.758,284.116,292.474,300.832,309.19,317.548,253.445,265.278,277.112,288.945,300.778,312.612,324.445,336.278,348.111,359.945
-810.953,0.828411,0.128013,5,31,0,1,0.0157248,0,0.999876,1.19488,0.293624,1.06449,-34.2343,-39.6737,16.813,-17.1867,0.189484,-4.09948,-37.9478,6.91336,25.3203,-38.2415,5.78554,-16.6985,6.0518,21.0859,-46.2561,-12.9877,6.0447,22.336,-43.2043,-18.319,-24.0932,10.2236,-9.57736,-8.43212,12.4188,-56.6735,10.9276,10.0966,3.55916,-9.66175,7.70104,-26.1139,24.141,2.09879,-5.45259,260.599,11.7265,25.2974,1.19488,0.00461718,0,0.293587,1,0.0157248,0.0157248,1,1.27193,-40.9057,-47.4051,20.0894,-20.5359,0.22641,-4.89837,-45.3429,8.26061,30.2546,-45.6938,6.913,-19.9527,7.23115,25.195,-55.2703,-15.5187,7.22267,6.56248,-12.8423,-5.56142,-6.99584,2.92217,-2.81092,-2.49449,3.4708,-16.6067,3.32511,2.78766,1.07164,-2.91367,2.28887,-7.56934,6.87393,0.55621,-1.5729,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,260.599,272.326,284.052,295.779,307.505,319.232,330.958,342.685,354.411,366.138,261.871,280.16,298.449,316.738,335.027,353.316,371.605,389.894,408.183,426.472,219.693,218.577,217.462,216.346,215.23,214.114,212.998,211.883,210.767,209.651,213.194,219.359,225.524,231.689,237.854,244.019,250.184,256.35,262.515,268.68,280.688,285.419,290.15,294.88,299.611,304.342,309.072,313.803,318.534,323.264,240.063,254.712,269.36,284.009,298.658,313.306,327.955,342.604,357.252,371.901,260.825,269.741,278.657,287.572,296.488,305.403,314.319,323.235,332.15,341.066,255.701,264.933,274.165,283.397,292.629,301.861,311.093,320.325,329.557,338.789,215.256,230.453,245.651,260.848,276.045,291.243,306.44,321.637,336.835,352.032,268.86,263.979,259.099,254.219,249.339,244.459,239.578,234.698,229.818,224.938,290.854,305.905,320.957,336.008,351.06,366.112,381.163,396.215,411.267,426.318,214.905,229.419,243.934,258.448,272.962,287.476,301.99,316.504,331.019,345.533,267.512,280.31,293.108,305.906,318.705,331.503,344.301,357.099,369.897,382.695,240.646,249.459,258.272,267.085,275.898,284.711,293.523,302.336,311.149,319.962,267.83,281.846,295.861,309.876,323.892,337.907,351.922,365.938,379.953,393.969,285.794,289.951,294.108,298.265,302.423,306.58,310.737,314.894,319.051,323.208,205.329,223.929,242.53,261.13,279.73,298.331,316.931,335.532,354.132,372.733,245.08,257.363,269.646,281.928,294.211,306.494,318.777,331.059,343.342,355.625,267.822,277.975,288.129,298.282,308.436,318.59,328.743,338.897,349.05,359.204
-810.505,0.977557,0.128013,5,31,0,1,0.16143,0,0.986884,0.9343,0.264124,2.29217,-59.3343,-36.0563,8.5898,37.3845,8.11634,33.1687,-2.73865,-23.5301,21.527,-15.4969,-44.0036,16.448,11.3474,-35.6007,-12.6572,6.5749,0.382766,25.4378,-15.9375,-26.4695,-11.1738,-22.184,-10.6835,-12.0894,-12.7414,-32.6235,29.4621,-5.30746,38.7074,-29.0816,7.34785,19.6953,-3.72331,-14.6529,11.3969,251.659,12.6817,25.7209,0.9343,0.0426375,0,0.26066,1,0.16143,0.16143,1,2.14157,-55.436,-33.6874,8.02545,34.9283,7.58309,30.9895,-2.55872,-21.9842,20.1127,-14.4788,-41.1125,15.3674,10.6019,-33.2617,-11.8256,6.14293,0.357618,6.72836,-6.68413,-8.43689,-2.54632,-4.1885,-2.4387,-1.73699,-3.43794,-9.5069,8.59746,-2.04419,8.21327,-6.8791,2.39912,3.61585,-1.51019,-3.53908,2.98703,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,251.659,264.34,277.022,289.704,302.386,315.067,327.749,340.431,353.112,365.794,253.8,273.21,292.62,312.03,331.441,350.851,370.261,389.671,409.081,428.491,196.223,202.22,208.218,214.215,220.213,226.211,232.208,238.206,244.203,250.201,217.971,222.216,226.461,230.706,234.951,239.195,243.44,247.685,251.93,256.175,259.684,269.819,279.955,290.09,300.226,310.361,320.497,330.632,340.767,350.903,286.587,295.08,303.573,312.067,320.56,329.053,337.546,346.04,354.533,363.026,259.242,269.485,279.728,289.971,300.214,310.457,320.7,330.943,341.186,351.429,282.648,293.593,304.538,315.482,326.427,337.372,348.317,359.261,370.206,381.151,249.1,258.344,267.587,276.831,286.075,295.319,304.563,313.806,323.05,332.294,229.674,232.849,236.024,239.199,242.374,245.549,248.723,251.898,255.073,258.248,271.771,293.05,314.33,335.609,356.888,378.167,399.446,420.726,442.005,463.284,237.18,247.817,258.455,269.092,279.73,290.368,301.005,311.643,322.28,332.918,210.546,231.441,252.336,273.231,294.126,315.021,335.916,356.811,377.706,398.601,267.026,272.829,278.631,284.434,290.236,296.039,301.842,307.644,313.447,319.25,262.26,277.341,292.422,307.503,322.584,337.665,352.746,367.826,382.907,397.988,218.397,234.694,250.992,267.29,283.587,299.885,316.182,332.48,348.778,365.075,239.833,251.005,262.176,273.348,284.519,295.691,306.862,318.034,329.205,340.377,257.801,266.944,276.087,285.229,294.372,303.515,312.657,321.8,330.943,340.085,252.016,267.685,283.354,299.022,314.691,330.36,346.029,361.698,377.366,393.035
-810.152,0.986398,0.128013,5,31,0,1,0.266105,0,0.963944,0.957057,0.17586,-10.1066,-43.7087,-42.9287,35.5072,19.0701,-9.66553,18.971,-13.0704,-2.45328,40.0731,-35.7202,-3.42273,-11.2134,37.9698,-2.0366,-25.8648,10.2517,27.8986,63.0274,-37.3155,-8.70131,-59.3534,-16.3261,-0.0983683,-10.4672,15.8909,-51.6042,36.4534,31.977,24.4571,-15.221,-9.39914,13.6473,44.2285,-34.6594,-8.29714,250.633,10.8483,26.3219,0.957057,0.0467972,0,0.169519,1,0.266105,0.266105,1,-9.67259,-41.8317,-41.0852,33.9824,18.2512,-9.25046,18.1563,-12.5091,-2.34793,38.3522,-34.1862,-3.27575,-10.7318,36.3392,-1.94914,-24.7541,9.81147,26.7005,10.2114,-8.37114,-3.48398,-8.39991,-1.87517,-0.468995,-0.886603,2.08216,-8.86272,8.05486,3.74911,3.98578,-3.105,0.183545,2.21817,6.28719,-5.39569,-0.100951,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,250.633,261.481,272.329,283.177,294.026,304.874,315.722,326.57,337.419,348.267,240.96,262.02,283.079,304.139,325.199,346.258,367.318,388.378,409.437,430.497,208.801,211.278,213.755,216.232,218.709,221.186,223.664,226.141,228.618,231.095,209.547,216.912,224.276,231.64,239.004,246.369,253.733,261.097,268.462,275.826,284.615,287.063,289.512,291.96,294.408,296.857,299.305,301.753,304.202,306.65,268.884,277.857,286.83,295.803,304.776,313.749,322.722,331.695,340.668,349.642,241.382,251.761,262.141,272.52,282.899,293.278,303.658,314.037,324.416,334.795,268.789,278.751,288.712,298.674,308.636,318.597,328.559,338.521,348.482,358.444,238.123,251.054,263.984,276.915,289.845,302.776,315.706,328.636,341.567,354.497,248.285,250.27,252.256,254.241,256.227,258.212,260.198,262.183,264.169,266.155,288.985,307.888,326.791,345.694,364.597,383.5,402.404,421.307,440.21,459.113,216.446,231.044,245.641,260.238,274.836,289.433,304.031,318.628,333.225,347.823,247.357,262.191,277.025,291.859,306.693,321.527,336.361,351.195,366.029,380.863,239.901,247.644,255.387,263.13,270.874,278.617,286.36,294.104,301.847,309.59,286.972,298.004,309.035,320.067,331.099,342.131,353.163,364.194,375.226,386.258,248.683,261.75,274.816,287.883,300.949,314.016,327.082,340.148,353.215,366.281,225.878,243.014,260.149,277.285,294.42,311.556,328.691,345.827,362.962,380.097,260.444,265.897,271.349,276.802,282.254,287.707,293.159,298.612,304.065,309.517,277.333,288.08,298.828,309.575,320.322,331.07,341.817,352.564,363.312,374.059
